1903,Boston Americans,91,47
1905,New York Giants,105,48
1906,Chicago White Sox,93,58
1907,Chicago Cubs,107,45
1908,Chicago Cubs,99,55
1909,Pittsburgh Pirates,110,42
1910,Philadelphia Athletics,102,48
1911,Philadelphia Athletics,101,50
1912,Boston Red Sox,105,47
1913,Philadelphia Athletics,96,57
1914,Boston Braves,94,59
1915,Boston Red Sox,101,50
1916,Boston Red Sox,91,63
1917,Chicago White Sox,100,54
1918,Boston Red Sox,75,51
1919,Cincinnati Reds,96,44
1920,Cleveland Indians,98,56
1921,New York Giants,94,59
1922,New York Giants,93,61
1923,New York Yankees,98,54
1924,Washington Senators,92,62
1925,Pittsburgh Pirates,95,58
1926,St. Louis Cardinals,89,65
1927,New York Yankees,110,44
1928,New York Yankees,101,53
1929,Philadelphia Athletics,104,46
1930,Philadelphia Athletics,102,52
1931,St. Louis Cardinals,101,53
1932,New York Yankees,107,47
1933,New York Giants,91,61
1934,St. Louis Cardinals,95,58
1935,Detroit Tigers,93,58
1936,New York Yankees,102,51
1937,New York Yankees,102,52
1938,New York Yankees,99,53
1939,New York Yankees,106,45
1940,Cincinnati Reds,100,53
1941,New York Yankees,101,53
1942,St. Louis Cardinals,106,48
1943,New York Yankees,98,56
1944,St. Louis Cardinals,105,49
1945,Detroit Tigers,88,65
1946,St. Louis Cardinals,98,58
1947,New York Yankees,97,57
1948,Cleveland Indians,97,58
1949,New York Yankees,97,57
1950,New York Yankees,98,56
1951,New York Yankees,98,56
1952,New York Yankees,95,59
1953,New York Yankees,99,52
1954,New York Giants,97,57
1955,Brooklyn Dodgers,98,55
1956,New York Yankees,97,57
1957,Milwaukee Braves,95,59
1958,New York Yankees,92,62
1959,Los Angeles Dodgers,88,68
1960,Pittsburgh Pirates,95,59
1961,New York Yankees,109,53
1962,New York Yankees,96,66
1963,Los Angeles Dodgers,99,63
1964,St. Louis Cardinals,93,69
1965,Los Angeles Dodgers,97,65
1966,Baltimore Orioles,97,63
1967,St. Louis Cardinals,101,60
1968,Detroit Tigers,103,59
1969,New York Mets,100,62
1970,Baltimore Orioles,108,54
1971,Pittsburgh Pirates,97,65
1972,Oakland Athletics,93,62
1973,Oakland Athletics,94,68
1974,Oakland Athletics,90,72
1975,Cincinnati Reds,108,54
1976,Cincinnati Reds,102,60
1977,New York Yankees,100,62
1978,New York Yankees,100,63
1979,Pittsburgh Pirates,98,64
1980,Philadelphia Phillies,91,71
1981,Los Angeles Dodgers,63,47
1982,St. Louis Cardinals,92,70
1983,Baltimore Orioles,98,64
1984,Detroit Tigers,104,58
1985,Kansas City Royals,91,71
1986,New York Mets,108,54
1987,Minnesota Twins,85,77
1988,Los Angeles Dodgers,94,67
1989,Oakland Athletics,99,63
1990,Cincinnati Reds,91,71
1991,Minnesota Twins,95,67
1992,Toronto Blue Jays,96,66
1993,Toronto Blue Jays,95,67
1995,Atlanta Braves,90,54
1996,New York Yankees,92,70
1997,Florida Marlins,92,70
1998,New York Yankees,114,48
1999,New York Yankees,98,64
2000,New York Yankees,87,74
2001,Arizona Diamondbacks,92,70
2002,Anaheim Angels,99,63
2003,Florida Marlins,91,71
2004,Boston Red Sox,98,64
2005,Chicago White Sox,99,63
2006,St. Louis Cardinals,83,78
2007,Boston Red Sox,96,66
2008,Philadelphia Phillies,92,70
2009,New York Yankees,103,59
2010,San Francisco Giants,92,70
2011,St. Louis Cardinals,90,72
2012,San Francisco Giants,94,68
2013,Boston Red Sox,97,65
2014,San Francisco Giants,88,74
2015,Kansas City Royals,95,67
